raMean,decMean,rMeanPSFMag
236.3652799,27.95953708,21.944400787353516
236.60043657,27.95991461,22.167600631713867
236.60415564,27.95895045,20.996299743652344
236.60483794,27.95894328,19.056699752807617
236.60769374,27.95929267,21.774799346923828
236.37687102,27.95995039,21.536100387573242
236.6249932,27.96360485,-999.0
236.6260793,27.95944375,22.113300323486328
236.62637862,27.95927204,21.783100128173828
236.38159187,27.95876341,-999.0
236.38202244,27.96108693,-999.0
236.64341862,27.96359441,20.80579948425293
236.64534748,27.95786237,21.827499389648438
236.64804883,27.96201827,-999.0
236.64884305,27.95933299,22.006399154663086
236.34764129,27.91795888,-999.0
236.34783814,27.92367084,21.458200454711914
236.34808013,27.92373369,-999.0
236.36340847,27.91861581,20.9606990814209
236.36360902,27.91817816,21.398500442504883
236.36348531,27.9186168,21.35919952392578
236.36358337,27.91871909,21.158899307250977
236.36404771,27.91640002,21.65369987487793
236.3713634,27.92003122,-999.0
236.37718831,27.92012335,20.252500534057617
236.3838939,27.91834372,-999.0
236.39400994,27.92396629,20.879100799560547
236.3868875,27.76453194,-999.0
236.38810276,27.76336463,-999.0
236.39088481,27.7644738,20.8882999420166
236.39376301,27.76157105,21.695899963378906
236.39389557,27.76166964,21.81879997253418
236.3980723,27.76152376,-999.0
236.4010079,27.76062706,21.024900436401367
236.41011943,27.76140289,21.513599395751953
236.41073156,27.75943761,21.557100296020508
236.41705293,27.75840005,-999.0
236.42189766,27.75979447,20.972700119018555
236.42396652,27.76581175,-999.0
236.42420572,27.75956783,-999.0
236.4245953,27.76493773,22.045499801635742
236.42542281,27.76306558,22.077499389648438
236.43351355,27.76085761,-999.0
236.94561647,27.83451561,21.127300262451172
236.94844489,27.83763525,19.39739990234375
236.95226652,27.83398893,21.114999771118164
236.95716763,27.83920614,22.116500854492188
236.9807654,27.83919344,21.94930076599121
236.98622658,27.83629981,-999.0
236.98976181,27.83469299,21.230499267578125
236.99176475,27.84018302,-999.0
236.9951911,27.8382965,21.695600509643555
237.00154174,27.84102305,21.900299072265625
236.49499372,27.82485362,-999.0
236.49592912,27.82696112,-999.0
236.49978871,27.8299939,21.70709991455078
236.50105415,27.82990245,-999.0
236.50157509,27.82928235,-999.0
236.5022668,27.83045424,21.80270004272461
236.50868263,27.83272868,21.031200408935547
236.51274816,27.82909252,-999.0
236.51624342,27.82761066,21.42729949951172
236.51867933,27.8317892,21.787900924682617
236.53239113,27.82938529,22.200700759887695
236.53784296,27.82578217,-999.0
236.53890731,27.83020837,22.09749984741211
236.54214463,27.83277909,-999.0
236.54231386,27.82737059,-999.0
236.54766695,27.83097302,20.864299774169922
236.41878266,28.43822042,-999.0
236.42008332,28.43322506,21.07469940185547
236.42162927,28.43723708,-999.0
236.42253493,28.4389476,19.449499130249023
