objID raMean decMean nDetections ng nr ni nz ny gMeanPSFMag rMeanPSFMag iMeanPSFMag zMeanPSFMag yMeanPSFMag
122851877285281050 187.72852057 12.37542143 2 0 0 0 1 1 -999.0 -999.0 -999.0 20.377599716186523 19.844499588012695
122851877289484139 187.7289158 12.37798868 2 0 0 2 0 0 -999.0 -999.0 19.604999542236328 -999.0 -999.0
122851877300522505 187.7300296 12.37663946 55 3 12 12 11 17 20.20199966430664 19.4591007232666 19.016300201416016 18.904300689697266 18.67650032043457
122851877308407587 187.73084877 12.38083671 14 1 4 4 3 2 21.11039924621582 19.20039939880371 19.938199996948242 19.681800842285156 20.075700759887695
122851877314496289 187.73138646 12.37984692 2 0 0 2 0 0 -999.0 -999.0 20.468900680541992 -999.0 -999.0
122861876780158637 187.67798786 12.39011526 56 13 10 16 6 11 20.105199813842773 19.234100341796875 19.22249984741211 18.96380043029785 19.11319923400879
122861876792099215 187.67910278 12.3906772 2 0 0 2 0 0 -999.0 -999.0 20.441600799560547 -999.0 -999.0
122861876804726311 187.68042392 12.38814182 6 0 1 3 2 0 -999.0 20.82740020751953 20.246000289916992 20.33329963684082 -999.0
122861876821409111 187.68214846 12.39051134 25 5 6 9 5 0 20.23419952392578 19.98430061340332 19.845600128173828 19.431800842285156 -999.0
122861876825616177 187.68252875 12.38811343 15 0 4 6 5 0 -999.0 19.64889907836914 20.598800659179688 19.73200035095215 -999.0
122871877234457446 187.72351107 12.39747372 3 1 0 2 0 0 20.527799606323242 -999.0 -999.0 -999.0 -999.0
122871877254109991 187.72541068 12.39958292 2 0 1 0 1 0 -999.0 -999.0 -999.0 -999.0 -999.0
122871877258373225 187.72584535 12.3938857 23 4 5 6 7 1 19.98390007019043 19.463899612426758 19.095300674438477 19.28230094909668 18.827299118041992
122871877278217932 187.7278561 12.39775211 4 0 1 1 2 0 -999.0 19.795700073242188 18.96500015258789 19.78030014038086 -999.0
122871877286001354 187.72859539 12.3923265 2 0 0 1 1 0 -999.0 -999.0 -999.0 -999.0 -999.0
122881877307586068 187.73072238 12.40457771 16 0 4 7 3 2 -999.0 19.57819938659668 20.252199172973633 20.250600814819336 19.707599639892578
122891876918542006 187.69181967 12.40955885 37 8 11 8 7 3 19.899599075317383 19.614200592041016 19.418500900268555 19.326499938964844 19.119300842285156
122891876960804282 187.69606772 12.4114559 2 0 0 2 0 0 -999.0 -999.0 19.67099952697754 -999.0 -999.0
122891876970628208 187.69702812 12.41471479 11 2 2 3 4 0 20.109100341796875 19.683500289916992 -999.0 19.466299057006836 -999.0
122891876862542075 187.68625927 12.4096202 8 3 1 3 1 0 21.16659927368164 -999.0 20.44580078125 -999.0 -999.0
122891876875232584 187.68751295 12.41006175 37 8 10 8 7 4 20.207500457763672 19.50189971923828 20.995399475097656 19.291200637817383 19.16550064086914
122891876880144926 187.68799359 12.41199789 2 0 1 1 0 0 -999.0 19.960500717163086 21.258899688720703 -999.0 -999.0
122891876881695207 187.68814728 12.41224011 5 0 0 1 3 1 -999.0 -999.0 19.6648006439209 -999.0 19.6658992767334
122841876900278179 187.69003934 12.37305959 5 0 0 3 2 0 -999.0 -999.0 20.552200317382812 19.911300659179688 -999.0
122841876901204578 187.69010145 12.37004787 59 7 14 14 10 14 20.245399475097656 19.316600799560547 19.614200592041016 19.070199966430664 18.891300201416016
122841876928445020 187.69289721 12.37039456 6 0 1 2 2 1 -999.0 18.678600311279297 20.118200302124023 19.876100540161133 19.741899490356445
122841876942138356 187.69419188 12.37321297 2 1 1 0 0 0 21.538700103759766 -999.0 -999.0 -999.0 -999.0
122841876948059763 187.69490943 12.37443051 2 1 0 1 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122841876949650880 187.69494854 12.36699359 2 0 1 1 0 0 -999.0 19.932600021362305 18.473899841308594 -999.0 -999.0
122841876980250947 187.69802521 12.3670466 2 0 1 1 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122841876986607454 187.6987773 12.37246285 2 0 0 1 0 1 -999.0 -999.0 -999.0 -999.0 20.018800735473633
122841877003925652 187.70039398 12.37104357 17 5 3 8 1 0 20.52589988708496 19.42799949645996 19.475099563598633 19.299699783325195 -999.0
122841877031699869 187.70306974 12.37440701 21 4 4 7 4 2 21.046199798583984 18.033899307250977 18.922000885009766 18.78849983215332 19.045499801635742
122841877046326268 187.70459709 12.37146008 6 0 0 5 1 0 -999.0 -999.0 19.27829933166504 19.18950080871582 -999.0
122841877048585890 187.70477188 12.37131347 2 1 0 0 0 1 -999.0 -999.0 -999.0 -999.0 19.361299514770508
122841877049374056 187.70486236 12.369663 30 5 6 11 7 1 20.579999923706055 19.50860023498535 19.42099952697754 19.313600540161133 19.350400924682617
122841877052006981 187.70518855 12.37193681 3 1 1 0 0 1 21.285499572753906 -999.0 -999.0 -999.0 19.38330078125
122841877061126095 187.70600076 12.37121532 2 1 1 0 0 0 19.824600219726562 18.064199447631836 -999.0 -999.0 -999.0
122861877323127783 187.73226642 12.3893479 14 0 4 7 2 1 -999.0 19.323999404907227 19.64459991455078 19.736799240112305 19.092300415039062
122861877325079977 187.73244344 12.39127579 3 0 1 1 1 0 -999.0 19.526599884033203 20.41550064086914 19.921199798583984 -999.0
122861877327865121 187.73297231 12.38731101 2 0 1 0 1 0 -999.0 19.17799949645996 -999.0 -999.0 -999.0
122871876776120415 187.67760249 12.39160011 2 0 0 2 0 0 -999.0 -999.0 20.507699966430664 -999.0 -999.0
122871876791728921 187.67918384 12.39880367 11 0 2 7 2 0 -999.0 20.029600143432617 20.65290069580078 19.706600189208984 -999.0
122871876793263265 187.67931988 12.39395506 2 0 0 0 0 2 -999.0 -999.0 -999.0 -999.0 19.27829933166504
122871876794304713 187.67941552 12.3952999 23 4 7 8 3 1 20.646900177001953 19.975900650024414 20.461000442504883 19.90719985961914 19.781600952148438
122871876794879090 187.67946914 12.3988047 2 0 0 2 0 0 -999.0 -999.0 19.665800094604492 -999.0 -999.0
122871876795095049 187.67944873 12.39535622 4 0 3 1 0 0 -999.0 18.846099853515625 -999.0 -999.0 -999.0
122871876795473881 187.67953277 12.39449104 2 0 0 1 1 0 -999.0 -999.0 20.8075008392334 22.993799209594727 -999.0
122871876811926128 187.68119849 12.39635205 38 5 11 13 5 4 20.216400146484375 19.51420021057129 19.645599365234375 19.132999420166016 19.092300415039062
122871876816378588 187.68162256 12.39839584 4 0 1 2 1 0 -999.0 -999.0 -999.0 20.881000518798828 -999.0
122881876981118279 187.69810875 12.40639036 5 2 1 1 1 0 20.26409912109375 -999.0 18.72279930114746 -999.0 -999.0
122881877028745978 187.70287487 12.40457238 2 0 2 0 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122881877036757679 187.70367589 12.40598979 2 0 0 1 1 0 -999.0 -999.0 -999.0 -999.0 -999.0
122881877047516953 187.7047457 12.40537394 2 0 0 2 0 0 -999.0 -999.0 19.99810028076172 -999.0 -999.0
122881877049017249 187.70484127 12.40560368 20 7 3 6 4 0 19.334299087524414 19.1018009185791 18.377599716186523 18.743600845336914 -999.0
122881877051997019 187.7051742 12.40539894 2 0 0 2 0 0 -999.0 -999.0 20.768800735473633 -999.0 -999.0
122881877067749910 187.70676683 12.4077674 5 1 3 1 0 0 21.810800552368164 18.991500854492188 -999.0 -999.0 -999.0
122881877085143466 187.7084996 12.40240408 37 9 11 7 7 3 18.826099395751953 18.006799697875977 17.76689910888672 17.875099182128906 17.68120002746582
122881877095525205 187.70951703 12.40389466 2 0 0 2 0 0 -999.0 -999.0 18.8612003326416 -999.0 -999.0
122881877105204765 187.71049731 12.4035168 2 0 0 2 0 0 -999.0 -999.0 19.13680076599121 -999.0 -999.0
122881877112164157 187.71126262 12.40316813 2 0 0 2 0 0 -999.0 -999.0 19.040800094604492 -999.0 -999.0
122881877142896840 187.71433931 12.40520591 3 1 2 0 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122841877075482358 187.70752991 12.3681808 2 0 2 0 0 0 -999.0 19.827299118041992 -999.0 -999.0 -999.0
122841877122942435 187.71223099 12.36833656 39 7 13 13 5 1 20.324399948120117 19.170000076293945 19.345399856567383 19.38409996032715 19.792200088500977
122841877131198303 187.71323214 12.37317418 6 1 0 3 1 1 19.872699737548828 -999.0 -999.0 -999.0 17.85700035095215
122841877132287509 187.71322814 12.37251503 2 0 0 2 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122841877133718012 187.7133713 12.37293453 2 0 0 2 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122841877154358531 187.7153943 12.37328692 2 0 0 1 0 1 -999.0 -999.0 19.968000411987305 -999.0 18.548999786376953
122841877170094121 187.71694 12.36975643 2 0 1 1 0 0 -999.0 20.224000930786133 -999.0 -999.0 -999.0
122841877187496820 187.71873243 12.37195007 30 5 7 12 6 0 20.66900062561035 19.45210075378418 19.646400451660156 19.3976993560791 -999.0
122841877188612187 187.71870909 12.36801573 6 0 0 4 2 0 -999.0 -999.0 20.086299896240234 19.757200241088867 -999.0
122841877203819534 187.72034648 12.37415297 39 7 10 12 9 1 19.87150001525879 18.992799758911133 18.931100845336914 19.1018009185791 18.77589988708496
122841877252127432 187.72519402 12.37244564 5 0 0 3 2 0 -999.0 -999.0 19.838600158691406 19.712299346923828 -999.0
122841877253517823 187.7253119 12.37274384 2 0 1 0 1 0 -999.0 -999.0 -999.0 19.69379997253418 -999.0
122841877277218595 187.72766308 12.3734418 5 0 0 4 0 1 -999.0 -999.0 20.177799224853516 -999.0 20.119199752807617
122851876807626491 187.68076236 12.37996384 9 0 2 6 1 0 -999.0 19.91900062561035 20.75629997253418 19.858699798583984 -999.0
122851876813339566 187.68129018 12.38255077 18 1 4 10 3 0 21.234399795532227 19.52910041809082 20.44260025024414 19.65019989013672 -999.0
122871876826967580 187.68268481 12.39759087 2 0 0 1 1 0 -999.0 -999.0 -999.0 -999.0 -999.0
122871876827696196 187.68274528 12.39644523 40 12 11 12 5 0 20.222299575805664 19.383899688720703 19.522499084472656 19.48110008239746 -999.0
122871876874935137 187.68749757 12.39543366 9 4 2 2 1 0 19.83769989013672 18.98430061340332 19.66990089416504 -999.0 -999.0
122871876890658023 187.68906336 12.39798852 7 2 2 2 1 0 20.414600372314453 19.02519989013672 18.588199615478516 18.964099884033203 -999.0
122871876892566784 187.68916464 12.3969136 5 2 0 1 2 0 19.787500381469727 -999.0 -999.0 19.672000885009766 -999.0
